food_code,food_name,wweia_cat_num,wweia_cat_name,energy_kcal,carb_g,fiber_g,sugar_g,fat_g,sat_fat_g,protein_g,cholesterol_mg,portion_desc,portion_weight_g,energy_kcal_per_serving,carb_g_per_serving,fiber_g_per_serving,sugar_g_per_serving,fat_g_per_serving,sat_fat_g_per_serving,protein_g_per_serving,high_carb,high_sugar,low_fiber,high_sat_fat,diabetes_flag,ada_risk_level,source
11710378,"Infant formula, Similac Sensitive, powder, made with bottled water",9404,"Formula, prepared from powder",65,6.99,0.0,6.99,3.53,2.298,1.4,2,1 fl oz,30.5,19.8,2.1,0.0,2.1,1.1,0.7,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710379,"Infant formula, Similac Sensitive, powder, made with baby water",9404,"Formula, prepared from powder",65,6.99,0.0,6.99,3.53,2.298,1.4,2,1 fl oz,30.5,19.8,2.1,0.0,2.1,1.1,0.7,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710381,"Infant formula, Similac for Spit-Up, ready-to-feed",9402,"Formula, ready-to-feed",65,6.9,0.0,6.9,3.48,2.263,1.38,0,1 fl oz,30.5,19.8,2.1,0.0,2.1,1.1,0.7,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710383,"Infant formula, Similac for Spit-Up, powder, made with water",9404,"Formula, prepared from powder",65,6.9,0.0,6.9,3.48,2.263,1.38,0,1 fl oz,30.5,19.8,2.1,0.0,2.1,1.1,0.7,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710481,"Toddler formula, Similac Go and Grow",9404,"Formula, prepared from powder",58,5.87,0.0,5.87,3.11,1.285,1.73,0,1 fl oz,30.5,17.7,1.8,0.0,1.8,0.9,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710605,"Infant formula, Enfamil, NFS",9404,"Formula, prepared from powder",66,7.36,0.0,7.34,3.49,1.448,1.43,1,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710631,"Infant formula, Enfamil Infant, ready-to-feed",9402,"Formula, ready-to-feed",66,7.38,0.0,7.38,3.49,1.444,1.4,0,1 fl oz,30.5,20.1,2.3,0.0,2.3,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710637,"Infant formula, Enfamil Infant, powder, made with tap water",9404,"Formula, prepared from powder",66,7.38,0.0,7.38,3.49,1.444,1.4,0,1 fl oz,30.5,20.1,2.3,0.0,2.3,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710638,"Infant formula, Enfamil Infant, powder, made with bottled water",9404,"Formula, prepared from powder",66,7.38,0.0,7.38,3.49,1.444,1.4,0,1 fl oz,30.5,20.1,2.3,0.0,2.3,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710639,"Infant formula, Enfamil Infant, powder, made with baby water",9404,"Formula, prepared from powder",66,7.38,0.0,7.38,3.49,1.444,1.4,0,1 fl oz,30.5,20.1,2.3,0.0,2.3,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710661,"Infant formula, Enfamil AR, ready-to-feed",9402,"Formula, ready-to-feed",65,7.43,0.0,7.25,3.24,1.359,1.6,0,1 fl oz,30.5,19.8,2.3,0.0,2.2,1.0,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710669,"Infant formula, Enfamil AR, powder, made with water",9404,"Formula, prepared from powder",65,7.43,0.0,7.25,3.24,1.359,1.6,0,1 fl oz,30.5,19.8,2.3,0.0,2.2,1.0,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710671,"Infant formula, Enfamil Gentlease, ready-to-feed",9402,"Formula, ready-to-feed",67,7.31,0.0,7.25,3.49,1.462,1.51,2,1 fl oz,30.5,20.4,2.2,0.0,2.2,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710677,"Infant formula, Enfamil Gentlease, powder, made with tap water",9404,"Formula, prepared from powder",67,7.31,0.0,7.25,3.49,1.462,1.51,2,1 fl oz,30.5,20.4,2.2,0.0,2.2,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710678,"Infant formula, Enfamil Gentlease, powder, made with bottled water",9404,"Formula, prepared from powder",67,7.31,0.0,7.25,3.49,1.462,1.51,2,1 fl oz,30.5,20.4,2.2,0.0,2.2,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710679,"Infant formula, Enfamil Gentlease, powder, made with baby water",9404,"Formula, prepared from powder",67,7.31,0.0,7.25,3.49,1.462,1.51,2,1 fl oz,30.5,20.4,2.2,0.0,2.2,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710689,"Toddler formula, Enfamil Enfagrow",9404,"Formula, prepared from powder",67,7.0,0.0,6.97,3.52,1.437,1.7,1,1 fl oz,30.5,20.4,2.1,0.0,2.1,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710801,"Toddler formula, PediaSure",9402,"Formula, ready-to-feed",99,11.15,0.0,10.5,4.77,1.256,2.86,2,1 fl oz,31.0,30.7,3.5,0.0,3.3,1.5,0.4,0.9,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710807,"Toddler formula, Nido Kinder",9404,"Formula, prepared from powder",62,6.43,0.0,6.42,3.32,1.361,1.72,0,1 fl oz,30.5,18.9,2.0,0.0,2.0,1.0,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710810,"Toddler formula, store brand, beginning or next stage",9404,"Formula, prepared from powder",62,6.43,0.0,6.42,3.32,1.361,1.72,0,1 fl oz,30.5,18.9,2.0,0.0,2.0,1.0,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710815,"Toddler formula, store brand, pediatric shake",9404,"Formula, prepared from powder",99,11.15,0.0,10.5,4.77,1.256,2.86,2,1 fl oz,31.0,30.7,3.5,0.0,3.3,1.5,0.4,0.9,False,False,True,False,0,low,USDA FNDDS 2021-2023
