high_risk_food_code,high_risk_food_name,high_risk_category,high_risk_carb_per100g,high_risk_fiber_per100g,high_risk_portion,high_risk_portion_g,high_risk_carb_per_serving,swap_food_code,swap_food_name,swap_category,swap_carb_per100g,swap_fiber_per100g,swap_portion,swap_portion_g,swap_carb_per_serving,carb_saving_per_serving,fiber_gain_per_serving,ada_rule,swap_group,source
53520160,"Doughnut, chocolate, with chocolate icing","Doughnuts, sweet rolls, pastries",51.0,3.9,1 doughnut,75.0,38.3,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,37.7,-2.5,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520170,Doughnut holes,"Doughnuts, sweet rolls, pastries",49.5,1.8,1 doughnut hole,15.0,7.4,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,7.2,-0.2,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520170,Doughnut holes,"Doughnuts, sweet rolls, pastries",49.5,1.8,1 doughnut hole,15.0,7.4,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,6.8,0.1,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520200,Churros,"Doughnuts, sweet rolls, pastries",48.9,2.6,1 regular,45.0,22.0,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,21.8,-1.1,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520200,Churros,"Doughnuts, sweet rolls, pastries",48.9,2.6,1 regular,45.0,22.0,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,7.0,13.7,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520200,Churros,"Doughnuts, sweet rolls, pastries",48.9,2.6,1 regular,45.0,22.0,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,21.4,-0.8,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520510,Beignet,"Doughnuts, sweet rolls, pastries",53.7,1.9,1 beignet,45.0,24.2,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,23.9,-0.8,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520510,Beignet,"Doughnuts, sweet rolls, pastries",53.7,1.9,1 beignet,45.0,24.2,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,9.1,14.0,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520510,Beignet,"Doughnuts, sweet rolls, pastries",53.7,1.9,1 beignet,45.0,24.2,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,23.6,-0.5,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521110,"Doughnut, yeast type","Doughnuts, sweet rolls, pastries",47.9,2.1,1 doughnut,60.0,28.8,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,28.5,-1.2,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
